rm -Rf scoring
rm -Rf package
rm -Rf package
mkdir package
mkdir package/predictions
mkdir package/datasets
rsync -ar --exclude='**/test_y.npy' datasets/* package/datasets/
cp -R evaluation/main.py package/main.py
cp -R daniel-1/* package
cd package; python3 main.py
==============================================================================
=============    Your NAS Unseen-Data 2026 Submission is running     =============
==============================================================================
========== Dataset   Ganges   =============================================
  Metadata:
   - num_classes         : 6
   - input_shape         : [4500, 1, 27, 18]
   - codename            : Ganges
   - benchmark           : 27.5
   - time_limit          : 0.1
   - time_remaining      : 359.9957920983434

=== Processing Data ===
  Allotted compute time remaining: ~5m,59s
[DataProcessor] augmentation: quantized/categorical (noise only) - shape 1x27x18, 2 unique values seen in 20000 sampled

=== Performing NAS ===
  Allotted compute time remaining: ~5m,57s
[NAS] macro: c0=32 n=2 d=2 stem_stride=1 (H=27, W=18 -> 6x4)
[NAS] scoring up to 15625 genotypes (full search space)
[NAS] scored 0 genotypes
[NAS] scored 380 genotypes, verifying top 14 (max_batches=20, batch_size=512, t_batch~0.085s, t_val~0.02s)
  [NAS] verify: val=15.50% t=0.7s
  [NAS] verify: val=15.83% t=0.6s
  [NAS] verify: val=18.50% t=0.6s
  [NAS] verify: val=15.83% t=0.6s
  [NAS] verify: val=15.83% t=0.6s
  [NAS] verify: val=17.00% t=0.6s
  [NAS] verify: val=18.50% t=0.6s
  [NAS] verify: val=15.83% t=0.6s
  [NAS] verify: val=15.50% t=0.6s
  [NAS] verify: val=15.83% t=0.5s
  [NAS] verify: val=15.83% t=0.6s
  [NAS] verify: val=15.00% t=0.5s
  [NAS] verify: val=15.50% t=0.6s
  [NAS] verify: val=15.50% t=0.6s
[NAS] selected genotype (val=18.50%): ['conv1x1', 'conv1x1', 'conv3x3', 'conv3x3', 'conv1x1', 'conv3x3']

=== Training ===
  Allotted compute time remaining: ~5m,36s
[Trainer] weight decay on 40 tensors, none on 79 (BN/bias)
  [Trainer] Epoch   1 | train=16.67% val=17.00% gap= -0.33 | loss=1.8460 | lr=0.01000 | t/ep=  0.5s t/eval= 0.1s | rem=   336s
  [Trainer] Epoch  95 | train=99.07% val=65.60% gap=+33.47 | loss=0.5920 | lr=0.00620 | t/ep=  1.2s t/eval= 0.1s | rem=   213s
  [Trainer] Epoch  96 | train=99.39% val=64.70% gap=+34.69 | loss=0.5894 | lr=0.00613 | t/ep=  1.2s t/eval= 0.1s | rem=   212s
  [Trainer] Epoch  97 | train=99.46% val=65.80% gap=+33.66 | loss=0.5844 | lr=0.00606 | t/ep=  1.2s t/eval= 0.1s | rem=   211s
  [Trainer] Epoch  98 | train=99.50% val=66.00% gap=+33.50 | loss=0.5845 | lr=0.00599 | t/ep=  1.2s t/eval= 0.1s | rem=   209s
  [Trainer] Epoch  99 | train=99.44% val=65.30% gap=+34.14 | loss=0.5854 | lr=0.00592 | t/ep=  1.2s t/eval= 0.1s | rem=   208s
  [Trainer] Epoch 100 | train=99.20% val=66.30% gap=+32.90 | loss=0.5876 | lr=0.00585 | t/ep=  1.2s t/eval= 0.1s | rem=   207s
  [Trainer] Epoch 101 | train=99.44% val=66.90% gap=+32.54 | loss=0.5815 | lr=0.00578 | t/ep=  1.2s t/eval= 0.1s | rem=   206s
  [Trainer] Epoch 102 | train=99.52% val=66.60% gap=+32.92 | loss=0.5792 | lr=0.00571 | t/ep=  1.2s t/eval= 0.1s | rem=   204s
  [Trainer] Epoch 103 | train=99.50% val=65.90% gap=+33.60 | loss=0.5795 | lr=0.00564 | t/ep=  1.2s t/eval= 0.1s | rem=   203s
  [Trainer] Epoch 104 | train=99.39% val=66.30% gap=+33.09 | loss=0.5801 | lr=0.00557 | t/ep=  1.2s t/eval= 0.1s | rem=   202s
  [Trainer] Epoch 105 | train=99.52% val=67.10% gap=+32.42 | loss=0.5774 | lr=0.00550 | t/ep=  1.2s t/eval= 0.1s | rem=   200s
  [Trainer] Epoch 106 | train=99.52% val=66.10% gap=+33.42 | loss=0.5777 | lr=0.00543 | t/ep=  1.2s t/eval= 0.1s | rem=   199s
  [Trainer] Epoch 107 | train=99.48% val=65.50% gap=+33.98 | loss=0.5793 | lr=0.00536 | t/ep=  1.2s t/eval= 0.1s | rem=   198s
  [Trainer] Epoch 108 | train=99.35% val=66.40% gap=+32.95 | loss=0.5775 | lr=0.00529 | t/ep=  1.2s t/eval= 0.1s | rem=   197s
  [Trainer] Epoch 109 | train=99.61% val=68.00% gap=+31.61 | loss=0.5725 | lr=0.00522 | t/ep=  1.2s t/eval= 0.1s | rem=   195s
  [Trainer] Epoch 110 | train=99.63% val=65.90% gap=+33.73 | loss=0.5731 | lr=0.00515 | t/ep=  1.2s t/eval= 0.1s | rem=   194s
  [Trainer] Epoch 111 | train=99.78% val=67.10% gap=+32.68 | loss=0.5683 | lr=0.00508 | t/ep=  1.2s t/eval= 0.1s | rem=   193s
  [Trainer] Epoch 112 | train=99.54% val=66.50% gap=+33.04 | loss=0.5703 | lr=0.00501 | t/ep=  1.2s t/eval= 0.1s | rem=   191s
  [Trainer] Epoch 113 | train=99.87% val=66.00% gap=+33.87 | loss=0.5658 | lr=0.00494 | t/ep=  1.2s t/eval= 0.1s | rem=   190s
  [Trainer] Epoch 114 | train=99.70% val=64.80% gap=+34.90 | loss=0.5707 | lr=0.00487 | t/ep=  1.2s t/eval= 0.1s | rem=   189s
  [Trainer] Epoch 115 | train=99.76% val=66.70% gap=+33.06 | loss=0.5643 | lr=0.00479 | t/ep=  1.2s t/eval= 0.1s | rem=   188s
  [Trainer] Epoch 116 | train=99.80% val=65.80% gap=+34.00 | loss=0.5676 | lr=0.00472 | t/ep=  1.2s t/eval= 0.1s | rem=   186s
  [Trainer] Epoch 117 | train=99.70% val=66.00% gap=+33.70 | loss=0.5650 | lr=0.00465 | t/ep=  1.2s t/eval= 0.1s | rem=   185s
  [Trainer] Epoch 118 | train=99.80% val=66.60% gap=+33.20 | loss=0.5607 | lr=0.00458 | t/ep=  1.2s t/eval= 0.1s | rem=   184s
  [Trainer] Epoch 119 | train=99.57% val=66.90% gap=+32.67 | loss=0.5661 | lr=0.00451 | t/ep=  1.2s t/eval= 0.1s | rem=   182s
  [Trainer] Epoch 120 | train=99.78% val=66.60% gap=+33.18 | loss=0.5616 | lr=0.00444 | t/ep=  1.3s t/eval= 0.1s | rem=   181s
  [Trainer] Epoch 121 | train=99.78% val=65.70% gap=+34.08 | loss=0.5628 | lr=0.00437 | t/ep=  1.2s t/eval= 0.1s | rem=   180s
  [Trainer] Epoch 122 | train=99.87% val=66.60% gap=+33.27 | loss=0.5591 | lr=0.00429 | t/ep=  1.2s t/eval= 0.1s | rem=   178s
  [Trainer] Epoch 123 | train=99.78% val=66.70% gap=+33.08 | loss=0.5614 | lr=0.00422 | t/ep=  1.2s t/eval= 0.1s | rem=   177s
  [Trainer] Epoch 124 | train=99.87% val=66.20% gap=+33.67 | loss=0.5570 | lr=0.00415 | t/ep=  1.2s t/eval= 0.1s | rem=   176s
  [Trainer] Epoch 125 | train=99.80% val=65.80% gap=+34.00 | loss=0.5565 | lr=0.00409 | t/ep=  1.2s t/eval= 0.1s | rem=   175s
  [Trainer] Epoch 126 | train=99.85% val=66.10% gap=+33.75 | loss=0.5544 | lr=0.00402 | t/ep=  1.2s t/eval= 0.1s | rem=   173s
  [Trainer] Epoch 127 | train=99.80% val=65.80% gap=+34.00 | loss=0.5565 | lr=0.00395 | t/ep=  1.2s t/eval= 0.1s | rem=   172s
  [Trainer] Epoch 128 | train=99.85% val=66.20% gap=+33.65 | loss=0.5549 | lr=0.00388 | t/ep=  1.2s t/eval= 0.1s | rem=   171s
  [Trainer] Epoch 129 | train=99.91% val=66.40% gap=+33.51 | loss=0.5567 | lr=0.00381 | t/ep=  1.2s t/eval= 0.1s | rem=   170s
  [Trainer] Epoch 130 | train=99.96% val=66.90% gap=+33.06 | loss=0.5541 | lr=0.00374 | t/ep=  1.2s t/eval= 0.1s | rem=   168s
  [Trainer] Epoch 131 | train=99.89% val=67.30% gap=+32.59 | loss=0.5547 | lr=0.00367 | t/ep=  1.2s t/eval= 0.1s | rem=   167s
  [Trainer] Epoch 132 | train=99.87% val=66.10% gap=+33.77 | loss=0.5554 | lr=0.00361 | t/ep=  1.2s t/eval= 0.1s | rem=   166s
  [Trainer] Epoch 133 | train=99.76% val=67.30% gap=+32.46 | loss=0.5550 | lr=0.00354 | t/ep=  1.2s t/eval= 0.1s | rem=   164s
  [Trainer] Epoch 134 | train=99.89% val=66.80% gap=+33.09 | loss=0.5542 | lr=0.00347 | t/ep=  1.2s t/eval= 0.1s | rem=   163s
  [Trainer] Epoch 135 | train=99.91% val=67.80% gap=+32.11 | loss=0.5524 | lr=0.00341 | t/ep=  1.2s t/eval= 0.1s | rem=   162s
  [Trainer] Epoch 136 | train=99.91% val=66.30% gap=+33.61 | loss=0.5529 | lr=0.00334 | t/ep=  1.2s t/eval= 0.1s | rem=   161s
  [Trainer] Epoch 137 | train=99.85% val=65.80% gap=+34.05 | loss=0.5507 | lr=0.00327 | t/ep=  1.2s t/eval= 0.1s | rem=   159s
  [Trainer] Epoch 138 | train=99.85% val=66.90% gap=+32.95 | loss=0.5517 | lr=0.00321 | t/ep=  1.2s t/eval= 0.1s | rem=   158s
  [Trainer] Epoch 139 | train=99.91% val=65.90% gap=+34.01 | loss=0.5505 | lr=0.00314 | t/ep=  1.2s t/eval= 0.1s | rem=   157s
  [Trainer] Epoch 140 | train=99.85% val=67.40% gap=+32.45 | loss=0.5510 | lr=0.00308 | t/ep=  1.2s t/eval= 0.1s | rem=   156s
  [Trainer] Epoch 141 | train=99.96% val=66.60% gap=+33.36 | loss=0.5483 | lr=0.00301 | t/ep=  1.2s t/eval= 0.1s | rem=   154s
  [Trainer] Epoch 142 | train=99.96% val=67.40% gap=+32.56 | loss=0.5501 | lr=0.00295 | t/ep=  1.2s t/eval= 0.1s | rem=   153s
  [Trainer] Epoch 143 | train=99.96% val=67.40% gap=+32.56 | loss=0.5492 | lr=0.00288 | t/ep=  1.2s t/eval= 0.1s | rem=   152s
  [Trainer] Epoch 144 | train=99.83% val=67.00% gap=+32.83 | loss=0.5506 | lr=0.00282 | t/ep=  1.2s t/eval= 0.1s | rem=   150s
  [Trainer] Epoch 145 | train=99.93% val=66.70% gap=+33.23 | loss=0.5489 | lr=0.00276 | t/ep=  1.2s t/eval= 0.1s | rem=   149s
  [Trainer] Epoch 146 | train=99.96% val=67.00% gap=+32.96 | loss=0.5474 | lr=0.00270 | t/ep=  1.2s t/eval= 0.1s | rem=   148s
  [Trainer] Epoch 147 | train=99.87% val=66.50% gap=+33.37 | loss=0.5487 | lr=0.00263 | t/ep=  1.2s t/eval= 0.1s | rem=   147s
  [Trainer] Epoch 148 | train=99.93% val=66.70% gap=+33.23 | loss=0.5477 | lr=0.00257 | t/ep=  1.2s t/eval= 0.1s | rem=   145s
  [Trainer] Epoch 149 | train=99.93% val=66.80% gap=+33.13 | loss=0.5469 | lr=0.00251 | t/ep=  1.2s t/eval= 0.1s | rem=   144s
  [Trainer] Epoch 150 | train=99.93% val=67.00% gap=+32.93 | loss=0.5462 | lr=0.00245 | t/ep=  1.2s t/eval= 0.1s | rem=   143s
  [Trainer] Epoch 151 | train=99.96% val=67.00% gap=+32.96 | loss=0.5473 | lr=0.00239 | t/ep=  1.2s t/eval= 0.1s | rem=   142s
  [Trainer] Epoch 152 | train=99.96% val=67.10% gap=+32.86 | loss=0.5442 | lr=0.00233 | t/ep=  1.2s t/eval= 0.1s | rem=   140s
  [Trainer] Epoch 153 | train=99.93% val=67.30% gap=+32.63 | loss=0.5446 | lr=0.00227 | t/ep=  1.2s t/eval= 0.1s | rem=   139s
  [Trainer] Epoch 154 | train=99.96% val=67.60% gap=+32.36 | loss=0.5442 | lr=0.00221 | t/ep=  1.2s t/eval= 0.1s | rem=   138s
  [Trainer] Epoch 155 | train=99.96% val=67.60% gap=+32.36 | loss=0.5454 | lr=0.00215 | t/ep=  1.2s t/eval= 0.1s | rem=   136s
  [Trainer] Epoch 156 | train=99.91% val=67.20% gap=+32.71 | loss=0.5444 | lr=0.00210 | t/ep=  1.2s t/eval= 0.1s | rem=   135s
  [Trainer] Epoch 157 | train=99.89% val=66.50% gap=+33.39 | loss=0.5468 | lr=0.00204 | t/ep=  1.2s t/eval= 0.1s | rem=   134s
  [Trainer] Epoch 158 | train=99.93% val=67.30% gap=+32.63 | loss=0.5467 | lr=0.00198 | t/ep=  1.2s t/eval= 0.1s | rem=   133s
  [Trainer] Epoch 159 | train=99.89% val=67.10% gap=+32.79 | loss=0.5432 | lr=0.00193 | t/ep=  1.2s t/eval= 0.1s | rem=   131s
  [Trainer] Epoch 160 | train=99.93% val=67.10% gap=+32.83 | loss=0.5450 | lr=0.00187 | t/ep=  1.2s t/eval= 0.1s | rem=   130s
  [Trainer] Epoch 161 | train=99.93% val=67.00% gap=+32.93 | loss=0.5442 | lr=0.00182 | t/ep=  1.2s t/eval= 0.1s | rem=   129s
  [Trainer] Epoch 162 | train=99.91% val=67.20% gap=+32.71 | loss=0.5431 | lr=0.00176 | t/ep=  1.3s t/eval= 0.1s | rem=   127s
  [Trainer] Epoch 163 | train=99.93% val=67.10% gap=+32.83 | loss=0.5446 | lr=0.00171 | t/ep=  1.2s t/eval= 0.1s | rem=   126s
  [Trainer] Epoch 164 | train=99.93% val=67.20% gap=+32.73 | loss=0.5435 | lr=0.00166 | t/ep=  1.2s t/eval= 0.1s | rem=   125s
  [Trainer] Epoch 165 | train=99.98% val=67.30% gap=+32.68 | loss=0.5424 | lr=0.00160 | t/ep=  1.2s t/eval= 0.1s | rem=   124s
  [Trainer] Epoch 166 | train=99.98% val=67.40% gap=+32.58 | loss=0.5422 | lr=0.00155 | t/ep=  1.2s t/eval= 0.1s | rem=   122s
  [Trainer] Epoch 167 | train=99.89% val=67.20% gap=+32.69 | loss=0.5443 | lr=0.00150 | t/ep=  1.2s t/eval= 0.1s | rem=   121s
  [Trainer] Epoch 168 | train=100.00% val=66.70% gap=+33.30 | loss=0.5416 | lr=0.00145 | t/ep=  1.2s t/eval= 0.1s | rem=   120s
  [Trainer] Epoch 169 | train=100.00% val=67.20% gap=+32.80 | loss=0.5426 | lr=0.00140 | t/ep=  1.2s t/eval= 0.1s | rem=   119s
  [Trainer] Epoch 170 | train=99.96% val=67.10% gap=+32.86 | loss=0.5423 | lr=0.00136 | t/ep=  1.2s t/eval= 0.1s | rem=   117s
  [Trainer] Epoch 171 | train=99.93% val=67.30% gap=+32.63 | loss=0.5425 | lr=0.00131 | t/ep=  1.2s t/eval= 0.1s | rem=   116s
  [Trainer] Epoch 172 | train=99.98% val=67.50% gap=+32.48 | loss=0.5413 | lr=0.00126 | t/ep=  1.2s t/eval= 0.1s | rem=   115s
  [Trainer] Epoch 173 | train=100.00% val=67.50% gap=+32.50 | loss=0.5415 | lr=0.00122 | t/ep=  1.2s t/eval= 0.1s | rem=   114s
  [Trainer] Epoch 174 | train=99.93% val=67.30% gap=+32.63 | loss=0.5419 | lr=0.00117 | t/ep=  1.2s t/eval= 0.1s | rem=   112s
  [Trainer] Epoch 175 | train=99.98% val=67.10% gap=+32.88 | loss=0.5417 | lr=0.00113 | t/ep=  1.2s t/eval= 0.1s | rem=   111s
  [Trainer] Epoch 176 | train=99.96% val=67.50% gap=+32.46 | loss=0.5425 | lr=0.00108 | t/ep=  1.2s t/eval= 0.1s | rem=   110s
  [Trainer] Epoch 177 | train=99.98% val=67.90% gap=+32.08 | loss=0.5399 | lr=0.00104 | t/ep=  1.2s t/eval= 0.1s | rem=   108s
  [Trainer] Epoch 178 | train=99.96% val=67.70% gap=+32.26 | loss=0.5410 | lr=0.00100 | t/ep=  1.2s t/eval= 0.1s | rem=   107s
  [Trainer] Epoch 179 | train=99.96% val=67.00% gap=+32.96 | loss=0.5420 | lr=0.00096 | t/ep=  1.2s t/eval= 0.1s | rem=   106s
  [Trainer] Epoch 180 | train=99.98% val=67.10% gap=+32.88 | loss=0.5410 | lr=0.00092 | t/ep=  1.2s t/eval= 0.1s | rem=   105s
  [Trainer] Epoch 181 | train=99.96% val=67.20% gap=+32.76 | loss=0.5414 | lr=0.00088 | t/ep=  1.2s t/eval= 0.1s | rem=   103s
  [Trainer] Epoch 182 | train=99.98% val=66.80% gap=+33.18 | loss=0.5404 | lr=0.00084 | t/ep=  1.2s t/eval= 0.1s | rem=   102s
  [Trainer] Epoch 183 | train=99.98% val=67.20% gap=+32.78 | loss=0.5399 | lr=0.00080 | t/ep=  1.2s t/eval= 0.1s | rem=   101s
  [Trainer] Epoch 184 | train=99.98% val=67.20% gap=+32.78 | loss=0.5401 | lr=0.00076 | t/ep=  1.2s t/eval= 0.1s | rem=   100s
  [Trainer] Epoch 185 | train=100.00% val=67.60% gap=+32.40 | loss=0.5395 | lr=0.00072 | t/ep=  1.3s t/eval= 0.1s | rem=    98s
  [Trainer] Epoch 186 | train=99.96% val=67.40% gap=+32.56 | loss=0.5380 | lr=0.00069 | t/ep=  1.2s t/eval= 0.1s | rem=    97s
  [Trainer] Epoch 187 | train=99.98% val=67.40% gap=+32.58 | loss=0.5407 | lr=0.00065 | t/ep=  1.2s t/eval= 0.1s | rem=    96s
  [Trainer] Epoch 188 | train=99.98% val=67.60% gap=+32.38 | loss=0.5398 | lr=0.00062 | t/ep=  1.2s t/eval= 0.1s | rem=    94s
  [Trainer] Epoch 189 | train=99.98% val=67.40% gap=+32.58 | loss=0.5408 | lr=0.00058 | t/ep=  1.2s t/eval= 0.1s | rem=    93s
  [Trainer] Epoch 190 | train=99.98% val=66.90% gap=+33.08 | loss=0.5391 | lr=0.00055 | t/ep=  1.2s t/eval= 0.1s | rem=    92s
  [Trainer] Epoch 191 | train=99.98% val=67.10% gap=+32.88 | loss=0.5406 | lr=0.00052 | t/ep=  1.2s t/eval= 0.1s | rem=    91s
  [Trainer] Epoch 192 | train=99.96% val=67.50% gap=+32.46 | loss=0.5393 | lr=0.00049 | t/ep=  1.2s t/eval= 0.1s | rem=    89s
  [Trainer] Epoch 193 | train=99.96% val=67.50% gap=+32.46 | loss=0.5394 | lr=0.00046 | t/ep=  1.2s t/eval= 0.1s | rem=    88s
  [Trainer] Epoch 194 | train=99.98% val=67.60% gap=+32.38 | loss=0.5403 | lr=0.00043 | t/ep=  1.2s t/eval= 0.1s | rem=    87s
  [Trainer] Epoch 195 | train=99.96% val=67.30% gap=+32.66 | loss=0.5385 | lr=0.00040 | t/ep=  1.2s t/eval= 0.1s | rem=    86s
  [Trainer] Epoch 196 | train=99.98% val=67.30% gap=+32.68 | loss=0.5392 | lr=0.00038 | t/ep=  1.2s t/eval= 0.1s | rem=    84s
  [Trainer] Epoch 197 | train=100.00% val=67.50% gap=+32.50 | loss=0.5403 | lr=0.00035 | t/ep=  1.2s t/eval= 0.1s | rem=    83s
  [Trainer] Epoch 198 | train=99.98% val=67.50% gap=+32.48 | loss=0.5401 | lr=0.00032 | t/ep=  1.2s t/eval= 0.1s | rem=    82s
  [Trainer] Epoch 199 | train=99.96% val=67.60% gap=+32.36 | loss=0.5399 | lr=0.00030 | t/ep=  1.2s t/eval= 0.1s | rem=    81s
  [Trainer] Epoch 200 | train=99.98% val=67.40% gap=+32.58 | loss=0.5388 | lr=0.00028 | t/ep=  1.2s t/eval= 0.1s | rem=    79s
  [Trainer] Epoch 201 | train=99.98% val=67.20% gap=+32.78 | loss=0.5392 | lr=0.00025 | t/ep=  1.2s t/eval= 0.1s | rem=    78s
  [Trainer] Epoch 202 | train=99.96% val=67.10% gap=+32.86 | loss=0.5395 | lr=0.00023 | t/ep=  1.2s t/eval= 0.1s | rem=    77s
  [Trainer] Epoch 203 | train=100.00% val=67.40% gap=+32.60 | loss=0.5384 | lr=0.00021 | t/ep=  1.2s t/eval= 0.1s | rem=    76s
  [Trainer] Epoch 204 | train=100.00% val=67.30% gap=+32.70 | loss=0.5385 | lr=0.00019 | t/ep=  1.2s t/eval= 0.1s | rem=    74s
  [Trainer] Epoch 205 | train=99.98% val=67.00% gap=+32.98 | loss=0.5384 | lr=0.00017 | t/ep=  1.2s t/eval= 0.1s | rem=    73s
  [Trainer] Epoch 206 | train=100.00% val=67.20% gap=+32.80 | loss=0.5371 | lr=0.00016 | t/ep=  1.2s t/eval= 0.1s | rem=    72s
  [Trainer] Epoch 207 | train=99.98% val=67.40% gap=+32.58 | loss=0.5387 | lr=0.00014 | t/ep=  1.2s t/eval= 0.1s | rem=    70s
  [Trainer] Epoch 208 | train=99.98% val=67.20% gap=+32.78 | loss=0.5399 | lr=0.00012 | t/ep=  1.2s t/eval= 0.1s | rem=    69s
  [Trainer] Epoch 209 | train=99.98% val=67.30% gap=+32.68 | loss=0.5394 | lr=0.00011 | t/ep=  1.2s t/eval= 0.1s | rem=    68s
  [Trainer] Epoch 210 | train=99.98% val=67.70% gap=+32.28 | loss=0.5385 | lr=0.00010 | t/ep=  1.2s t/eval= 0.1s | rem=    67s
  [Trainer] Epoch 211 | train=100.00% val=67.40% gap=+32.60 | loss=0.5397 | lr=0.00008 | t/ep=  1.2s t/eval= 0.1s | rem=    65s
  [Trainer] Epoch 212 | train=99.98% val=67.60% gap=+32.38 | loss=0.5391 | lr=0.00007 | t/ep=  1.2s t/eval= 0.1s | rem=    64s
  [Trainer] Epoch 213 | train=100.00% val=67.70% gap=+32.30 | loss=0.5399 | lr=0.00006 | t/ep=  1.2s t/eval= 0.1s | rem=    63s
  [Trainer] Epoch 214 | train=99.96% val=67.60% gap=+32.36 | loss=0.5400 | lr=0.00005 | t/ep=  1.2s t/eval= 0.1s | rem=    62s
  [Trainer] Epoch 215 | train=99.98% val=67.40% gap=+32.58 | loss=0.5392 | lr=0.00004 | t/ep=  1.2s t/eval= 0.1s | rem=    60s
  [Trainer] Epoch 216 | train=99.98% val=67.70% gap=+32.28 | loss=0.5380 | lr=0.00003 | t/ep=  1.2s t/eval= 0.1s | rem=    59s
  [Trainer] Epoch 217 | train=99.96% val=67.20% gap=+32.76 | loss=0.5392 | lr=0.00002 | t/ep=  1.2s t/eval= 0.1s | rem=    58s
  [Trainer] Epoch 218 | train=99.98% val=67.60% gap=+32.38 | loss=0.5383 | lr=0.00002 | t/ep=  1.2s t/eval= 0.1s | rem=    57s
  [Trainer] Epoch 219 | train=99.98% val=67.50% gap=+32.48 | loss=0.5381 | lr=0.00001 | t/ep=  1.2s t/eval= 0.1s | rem=    55s
  [Trainer] Epoch 220 | train=99.98% val=67.20% gap=+32.78 | loss=0.5389 | lr=0.00001 | t/ep=  1.2s t/eval= 0.1s | rem=    54s
  [Trainer] Epoch 221 | train=99.93% val=67.50% gap=+32.43 | loss=0.5381 | lr=0.00000 | t/ep=  1.2s t/eval= 0.1s | rem=    53s
  [Trainer] Epoch 222 | train=99.98% val=67.40% gap=+32.58 | loss=0.5395 | lr=0.00000 | t/ep=  1.2s t/eval= 0.1s | rem=    52s
  [Trainer] Epoch 223 | train=99.96% val=67.40% gap=+32.56 | loss=0.5406 | lr=0.00000 | t/ep=  1.2s t/eval= 0.1s | rem=    50s
[Trainer] summary: 223 epochs, best val 68.00% at epoch 109 (49% in), final train 99.96%
[Trainer]   -> MEMORISING - train 100.0% vs val 68.0%, gap +32.0pts (needs regularisation, not capacity/time)

=== Predicting ===
  Allotted compute time remaining: ~50.24s
Run time for Congo: 309.80931102111936
Model Training and Prediction Complete
finished dataset: Congo
========== Dataset   Rhine    =============================================
  Metadata:
   - num_classes         : 43
   - input_shape         : [5328, 3, 29, 29]
   - codename            : Rhine
   - benchmark           : 89.03
   - time_limit          : 0.1
   - time_remaining      : 359.9728228189051

=== Processing Data ===
  Allotted compute time remaining: ~5m,59s
[DataProcessor] augmentation: continuous (pad+crop+flip+noise) - shape 3x29x29, 252 unique values seen in 20000 sampled

=== Performing NAS ===
  Allotted compute time remaining: ~5m,59s
[NAS] macro: c0=32 n=2 d=2 stem_stride=1 (H=29, W=29 -> 7x7)
[NAS] scoring up to 15625 genotypes (full search space)
[NAS] scored 0 genotypes
[NAS] scored 393 genotypes, verifying top 8 (max_batches=22, batch_size=512, t_batch~0.126s, t_val~0.23s)
  [NAS] verify: val=6.45% t=1.8s
  [NAS] verify: val=5.11% t=1.8s
  [NAS] verify: val=4.24% t=1.6s
  [NAS] verify: val=7.72% t=1.5s
  [NAS] verify: val=4.91% t=1.6s
  [NAS] verify: val=4.99% t=1.6s
  [NAS] verify: val=5.27% t=1.6s
  [NAS] verify: val=4.28% t=1.6s
[NAS] selected genotype (val=7.72%): ['conv3x3', 'conv1x1', 'conv3x3', 'skip', 'conv3x3', 'conv1x1']

=== Training ===
  Allotted compute time remaining: ~5m,34s
[Trainer] weight decay on 34 tensors, none on 67 (BN/bias)
  [Trainer] Epoch   1 | train= 7.71% val= 5.42% gap= +2.29 | loss=3.6628 | lr=0.01000 | t/ep=  1.3s t/eval= 0.2s | rem=   333s
  [Trainer] Epoch   2 | train=11.78% val= 9.03% gap= +2.75 | loss=3.3708 | lr=0.01000 | t/ep=  1.3s t/eval= 0.2s | rem=   332s
  [Trainer] Epoch   3 | train=16.00% val=14.57% gap= +1.43 | loss=3.1722 | lr=0.01000 | t/ep=  1.3s t/eval= 0.2s | rem=   330s
  [Trainer] Epoch   4 | train=19.34% val=16.23% gap= +3.10 | loss=3.0410 | lr=0.00999 | t/ep=  1.3s t/eval= 0.2s | rem=   329s
  [Trainer] Epoch   5 | train=21.31% val=16.15% gap= +5.16 | loss=2.9564 | lr=0.00999 | t/ep=  1.3s t/eval= 0.2s | rem=   327s
  [Trainer] Epoch   6 | train=24.45% val=20.11% gap= +4.34 | loss=2.8563 | lr=0.00998 | t/ep=  1.3s t/eval= 0.2s | rem=   326s
  [Trainer] Epoch   7 | train=28.67% val=19.71% gap= +8.96 | loss=2.7303 | lr=0.00998 | t/ep=  1.3s t/eval= 0.2s | rem=   324s
  [Trainer] Epoch   8 | train=32.66% val=22.29% gap=+10.37 | loss=2.6206 | lr=0.00997 | t/ep=  1.3s t/eval= 0.2s | rem=   323s
  [Trainer] Epoch   9 | train=36.99% val=23.36% gap=+13.64 | loss=2.4795 | lr=0.00996 | t/ep=  1.3s t/eval= 0.2s | rem=   321s
  [Trainer] Epoch  10 | train=40.72% val=27.55% gap=+13.17 | loss=2.3665 | lr=0.00994 | t/ep=  1.3s t/eval= 0.2s | rem=   320s
  [Trainer] Epoch  11 | train=44.47% val=30.72% gap=+13.75 | loss=2.2397 | lr=0.00993 | t/ep=  1.3s t/eval= 0.2s | rem=   318s
  [Trainer] Epoch  12 | train=47.75% val=29.18% gap=+18.58 | loss=2.1422 | lr=0.00992 | t/ep=  1.3s t/eval= 0.2s | rem=   317s
  [Trainer] Epoch  13 | train=50.18% val=35.99% gap=+14.19 | loss=2.0642 | lr=0.00990 | t/ep=  1.3s t/eval= 0.2s | rem=   315s
  [Trainer] Epoch  14 | train=53.44% val=36.50% gap=+16.94 | loss=1.9729 | lr=0.00989 | t/ep=  1.3s t/eval= 0.2s | rem=   314s
  [Trainer] Epoch  15 | train=55.76% val=39.98% gap=+15.78 | loss=1.9153 | lr=0.00987 | t/ep=  1.3s t/eval= 0.2s | rem=   312s
  [Trainer] Epoch  16 | train=59.94% val=42.00% gap=+17.94 | loss=1.8168 | lr=0.00985 | t/ep=  1.3s t/eval= 0.2s | rem=   311s
  [Trainer] Epoch  17 | train=63.73% val=46.52% gap=+17.21 | loss=1.7160 | lr=0.00983 | t/ep=  1.3s t/eval= 0.3s | rem=   309s
  [Trainer] Epoch  18 | train=66.07% val=42.91% gap=+23.16 | loss=1.6692 | lr=0.00980 | t/ep=  1.3s t/eval= 0.2s | rem=   308s
